ofac_id,uk_id,explanation
10932,6991,ofac_id: 10932 has a jaccard distance of 0.03448275862068961 with uk_id: 6991 from the name column
10935,10690,ofac_id: 10935 has a jaccard distance of 0.0 with uk_id: 10690 from the name column
10936,10693,ofac_id: 10936 has a jaccard distance of 0.0 with uk_id: 10693 from the name column
11018,13344,ofac_id: 11018 has a jaccard distance of 0.0 with uk_id: 13344 from the name column
11168,9103,ofac_id: 11168 has a jaccard distance of 0.22580645161290325 with uk_id: 9103 from the name column
11177,12208,ofac_id: 11177 has a jaccard distance of 0.0 with uk_id: 12208 from the name column
11181,11201,ofac_id: 11181 has a jaccard distance of 0.06896551724137934 with uk_id: 11201 from the name column
11183,11953,ofac_id: 11183 has a jaccard distance of 0.0357142857142857 with uk_id: 11953 from the name column
11184,10659,ofac_id: 11184 has a jaccard distance of 0.11538461538461542 with uk_id: 10659 from the name column
11198,11148,ofac_id: 11198 has a jaccard distance of 0.050000000000000044 with uk_id: 11148 from the name column
11311,11091,ofac_id: 11311 has a jaccard distance of 0.0 with uk_id: 11091 from the name column
11322,10752,ofac_id: 11322 has a jaccard distance of 0.0 with uk_id: 10752 from the name column
11355,10908,ofac_id: 11355 has a jaccard distance of 0.0 with uk_id: 10908 from the name column
11373,10906,ofac_id: 11373 has a jaccard distance of 0.0 with uk_id: 10906 from the name column
11387,8714,ofac_id: 11387 has a jaccard distance of 0.0 with uk_id: 8714 from the name column
11388,10672,ofac_id: 11388 has a jaccard distance of 0.0 with uk_id: 10672 from the name column
11389,10678,ofac_id: 11389 has a jaccard distance of 0.0 with uk_id: 10678 from the name column
11390,10679,ofac_id: 11390 has a jaccard distance of 0.0 with uk_id: 10679 from the name column
11391,10674,ofac_id: 11391 has a jaccard distance of 0.0 with uk_id: 10674 from the name column
11441,10448,ofac_id: 11441 has a jaccard distance of 0.033333333333333326 with uk_id: 10448 from the name column
11442,11126,ofac_id: 11442 has a jaccard distance of 0.038461538461538436 with uk_id: 11126 from the name column
11443,11125,ofac_id: 11443 has a jaccard distance of 0.045454545454545414 with uk_id: 11125 from the name column
11444,11129,ofac_id: 11444 has a jaccard distance of 0.21875 with uk_id: 11129 from the name column
11445,11127,ofac_id: 11445 has a jaccard distance of 0.17142857142857137 with uk_id: 11127 from the name column
